machine_id,temperature,vibration,pressure,rpm,power_consumption,cycle_count,operating_hours,failure
M003,75.21122428379338,2.498883194768213,81.95992738342012,1157.2512851741521,49.99019969353397,8604,1639,1
M004,76.45215585950056,1.657851348872761,85.1497942914529,1406.6289179200162,42.757950721788454,9729,254,1
M001,75.55604466003449,2.195076925422602,87.62354050081713,1427.2430940780257,58.04396256245103,4249,4816,0
M003,70.8958068125525,2.5374787046064284,100.69691909731284,1345.9761785536493,56.672220549810646,6346,2637,0
M003,68.02661579692673,1.4215402711236687,101.16828590471012,1430.22960056176,48.60949189686624,8408,1965,0
M004,68.48726716346488,1.922505700107012,123.16138995286067,1706.5123440721104,46.1730662672965,6625,50,0
M001,68.0509171964732,1.9415698810025117,105.77582751906752,1357.2094175680893,45.365140053238406,9216,799,1
M001,81.33770096867065,2.8264033173305245,59.38651459491838,1609.0281759021082,47.518840039914565,2813,99,0
M003,75.93556722280861,0.9339678283723194,103.93962981807536,1306.87007207854,38.79803816999059,805,1747,0
M002,40.59611365335719,1.9484577913923484,78.24975465748702,1462.1000847215741,42.323141502305276,3349,2511,0
M003,76.55900776529761,3.9120054690526977,85.51043613082695,1564.76785326549,56.88096313587973,7361,236,0
M003,71.94736194718774,3.1640601525859378,87.81745792410506,1300.694316676288,52.41449988860695,2816,471,0
M003,69.81291243554102,3.349179048888705,90.04992514731548,1237.655913417862,63.074195887812245,9463,2204,1
M003,66.11481546911114,2.024431840178034,79.37275911939545,1598.3756301157775,47.60643879864543,6231,138,0
M004,81.24112719986013,2.3209975636860234,103.05223005178432,1724.6160798681278,47.10789418314506,8625,2862,1
M001,79.47526462122858,3.002236166702925,78.83796572363562,1484.1869961025257,46.736808603650815,7420,1383,0
M004,62.27122332176391,3.560255529530931,105.3500141087477,1408.537418688659,47.44668413425465,8620,3095,1
M004,74.07052287124534,0.048397087117113324,133.55456615592445,1531.1350775376773,44.72036789482722,9379,4501,1
M004,60.28343265458714,0.6845586929501544,80.05961411598904,1511.095983753076,52.1679057174976,4257,1712,0
M003,56.203818352110694,3.309444101402648,95.73234543491166,1548.5805081422502,50.23283253718729,2312,950,0
M002,63.73282775410035,1.7231106442311965,62.14813956231295,994.3509799372571,45.92068398529382,1995,3796,0
M001,78.62393472382759,1.3282792107419228,95.485970605448,1286.1791417668073,60.009191304151216,4995,2373,0
M002,79.53125045376086,0.7458390130043961,109.64075728947226,1330.9539789126293,65.17266337989045,1742,1357,0
M004,75.13085420097293,1.4449832984558906,110.809588470359,1530.1735257023124,59.3326176445872,9534,4424,1
M004,77.25095786847997,0.5976307165761752,101.16045595426145,1537.1755767244533,54.46499210466716,1155,1699,0
M002,75.16178287114958,4.091094272732477,113.33895137138464,1627.236097736807,56.09415781011019,3204,2136,1
M002,63.585184047770476,1.9775639480194265,138.19081803914187,1551.5163498420873,64.85132414261068,8585,4110,1
M002,74.31922544673941,1.9420494582372825,125.68457031156399,1239.8529859225328,56.08255452607539,6763,3372,1
M004,78.00409525227683,2.588076675167832,92.16218605885544,1789.400923517012,45.31851317920572,6947,633,0
M004,77.54291329813574,2.9623451692665697,78.23344020299892,1754.3836606844732,53.138180213204386,7202,1883,0
M001,81.88913371474644,2.9458881565546395,93.90772875139295,1248.3605419946148,55.00995412850654,4817,2316,0
M001,77.08303847201064,3.073621943907572,85.79525851573977,1566.5410588748366,42.04226180771264,2040,1128,0
M004,73.51448207541583,1.3691544492091436,106.77021321796948,1380.9151229513968,47.720553450854574,2078,2386,0
M002,80.70150238316427,1.7021331950431389,82.28209690855752,1527.7727978401097,58.803134592443726,2864,391,0
M002,69.7347874075094,2.7690316554422756,98.90766351114488,1710.6620559283742,35.41205811960331,5829,168,0
M001,61.18125348772282,1.47261093836038,112.57021081804466,1926.0208532641918,39.996571639675246,6249,3088,0
M004,68.36933036056236,1.994893367972775,98.48956190774234,1650.255541028522,48.58874357097338,7442,2052,0
M001,62.55097355193551,2.3987637644248143,85.80529265878306,1558.9869470220272,52.82943676404564,5215,3965,0
M001,63.24821725025618,2.785185082310376,117.62221086378537,1432.0357663383406,39.138940440408746,5112,3208,0
M003,68.55481329284483,0.22231903762979877,71.8152858286926,1536.4269742022352,48.98568598667247,6937,4714,0
M003,62.075800790000386,2.714745649888945,95.08307416183806,1771.9543786656627,59.230148312708536,4256,1185,0
M003,66.9203847036096,1.7662759421482745,99.37509964927997,1491.058248648083,50.54921165659427,9521,4864,1
M002,51.063853330462145,2.707457710864381,100.23862987599446,1322.7774697304699,57.512711549049044,9838,2727,1
M004,72.13293707372938,2.776931692354829,102.70744084117122,1176.0620268966748,45.263087029319976,7891,3509,0
M004,70.01205475362224,3.6079150611191575,109.1565972971424,1602.60957348205,43.52066514568655,6339,4477,0
M004,61.82911368931809,3.353453647621203,99.46888841431974,1549.4576251255478,56.79099064228038,2385,4577,0
M004,76.59245668432405,3.3465716626102964,94.47912576784479,1370.8183653475407,52.95412427724952,5429,3426,0
M003,79.37570137626558,3.4436703191662383,93.88615983010456,1705.2028251414595,40.51523193780433,5298,4720,0
M002,53.924401356310256,2.291378984815946,90.82726296942468,1415.6446271224738,43.59327267069769,3305,1713,0
